ref,url,content
Article 1(1),https://www.wipo.int/pct/en/texts/articles/a1.html,"The States party to this Treaty (hereinafter called ""the Contracting States"") constitute a Union for cooperation in the filing, searching, and examination, of applications for the protection of inventions, and for rendering special technical services. The Union shall be known as the International Patent Cooperation Union."
Article 1(2),https://www.wipo.int/pct/en/texts/articles/a1.html,No provision of this Treaty shall be interpreted as diminishing the rights under the Paris Convention for the Protection of Industrial Property of any national or resident of any country party to that Convention.
Article 2(1),https://www.wipo.int/pct/en/texts/articles/a2.html,For the purposes of this Treaty and the Regulations and unless expressly stated otherwise:
Article 2(1)(i),https://www.wipo.int/pct/en/texts/articles/a2.html,"“application” means an application for the protection of an invention; references to an “application” shall be construed as references to applications for patents for inventions, inventors’ certificates, utility certificates, utility models, patents or certificates of addition, inventors’ certificates of addition, and utility certificates of addition"
Article 2(1)(ii),https://www.wipo.int/pct/en/texts/articles/a2.html,"references to a “patent” shall be construed as references to patents for inventions, inventors’ certificates, utility certificates, utility models, patents or certificates of addition, inventors' certificates of addition, and utility certificates of addition"
Article 2(1)(iii),https://www.wipo.int/pct/en/texts/articles/a2.html,“national patent” means a patent granted by a national authority
Article 2(1)(iv),https://www.wipo.int/pct/en/texts/articles/a2.html,“regional patent” means a patent granted by a national or an intergovernmental authority having the power to grant patents effective in more than one State
Article 2(1)(v),https://www.wipo.int/pct/en/texts/articles/a2.html,“regional application” means an application for a regional patent
Article 2(1)(vi),https://www.wipo.int/pct/en/texts/articles/a2.html,"references to a “national application” shall be construed as references to applications for national patents and regional patents, other than applications filed under this Treaty"
Article 2(1)(vii),https://www.wipo.int/pct/en/texts/articles/a2.html,“international application” means an application filed under this Treaty
Article 2(1)(viii),https://www.wipo.int/pct/en/texts/articles/a2.html,references to an “application” shall be construed as references to international applications and national applications
Article 2(1)(ix),https://www.wipo.int/pct/en/texts/articles/a2.html,references to a “patent” shall be construed as references to national patents and regional patents
Article 2(1)(x),https://www.wipo.int/pct/en/texts/articles/a2.html,"references to “national law” shall be construed as references to the national law of a Contracting State or, where a regional application or a regional patent is involved, to the treaty providing for the filing of regional applications or the granting of regional patents"
Article 2(1)(xi),https://www.wipo.int/pct/en/texts/articles/a2.html,"“priority date,” for the purposes of computing time limits, means:"
Article 2(1)(xi)(a),https://www.wipo.int/pct/en/texts/articles/a2.html,"where the international application contains a priority claim under Article 8, the filing date of the application whose priority is so claimed"
Article 2(1)(xi)(b),https://www.wipo.int/pct/en/texts/articles/a2.html,"where the international application contains several priority claims under Article 8, the filing date of the earliest application whose priority is so claimed"
Article 2(1)(xi)(c),https://www.wipo.int/pct/en/texts/articles/a2.html,"where the international application does not contain any priority claim under Article 8, the international filing date of such application"
Article 2(1)(xii),https://www.wipo.int/pct/en/texts/articles/a2.html,"“national Office” means the government authority of a Contracting State entrusted with the granting of patents; references to a “national Office” shall be construed as referring also to any intergovernmental authority which several States have entrusted with the task of granting regional patents, provided that at least one of those States is a Contracting State, and provided that the said States have authorized that authority to assume the obligations and exercise the powers which this Treaty and the Regulations provide for in respect of national Offices"
Article 2(1)(xiii),https://www.wipo.int/pct/en/texts/articles/a2.html,“designated Office” means the national Office of or acting for the State designated by the applicant under Chapter I of this Treaty
Article 2(1)(xiv),https://www.wipo.int/pct/en/texts/articles/a2.html,“elected Office” means the national Office of or acting for the State elected by the applicant under Chapter II of this Treaty
Article 2(1)(xv),https://www.wipo.int/pct/en/texts/articles/a2.html,“receiving Office” means the national Office or the intergovernmental organization with which the international application has been filed
Article 2(1)(xvi),https://www.wipo.int/pct/en/texts/articles/a2.html,“Union” means the International Patent Cooperation Union
Article 2(1)(xvii),https://www.wipo.int/pct/en/texts/articles/a2.html,“Assembly” means the Assembly of the Union
Article 2(1)(xviii),https://www.wipo.int/pct/en/texts/articles/a2.html,“Organization” means the World Intellectual Property Organization
