ref,url,content
Rule 1(1),https://www.wipo.int/pct/en/texts/rules/r1.html,Meaning of Abbreviated Expressions
Rule 1(1)(a),https://www.wipo.int/pct/en/texts/rules/r1.html,"In these Regulations, the word “Treaty” means the Patent Cooperation Treaty."
Rule 1(1)(b),https://www.wipo.int/pct/en/texts/rules/r1.html,"In these Regulations, the words “Chapter” and “Article” refer to the specified Chapter or Article of the Treaty."
Rule 2(1),https://www.wipo.int/pct/en/texts/rules/r2.html,"“Applicant” Whenever the word ""applicant” is used, it shall be construed as meaning also the agent or other representative of the applicant, except where the contrary clearly follows from the wording or the nature of the provision, or the context in which the word is used, such as, in particular, where the provision refers to the residence or nationality of the applicant."
Rule 2(2),https://www.wipo.int/pct/en/texts/rules/r2.html,"“Agent” Whenever the word “agent” is used, it shall be construed as meaning an agent appointed under Rule 90.1, unless the contrary clearly follows from the wording or the nature of the provision, or the context in which the word is used."
Rule 2(2bis),https://www.wipo.int/pct/en/texts/rules/r2.html,"“Common Representative” Whenever the expression “common representative” is used, it shall be construed as meaning an applicant appointed as, or considered to be, the common representative under Rule 90.2."
Rule 2(3),https://www.wipo.int/pct/en/texts/rules/r2.html,"“Signature” Whenever the word “signature” is used, it shall be understood that, if the national law applied by the receiving Office or the competent International Searching or Preliminary Examining Authority requires the use of a seal instead of a signature, the word, for the purposes of that Office or Authority, shall mean seal."
Rule 2(4),https://www.wipo.int/pct/en/texts/rules/r2.html,“Priority Period”
Rule 2(4)(a),https://www.wipo.int/pct/en/texts/rules/r2.html,"Whenever the term “priority period” is used in relation to a priority claim, it shall be construed as meaning the period of 12 months from the filing date of the earlier application whose priority is so claimed. The day of filing of the earlier application shall not be included in that period."
Rule 2(4)(b),https://www.wipo.int/pct/en/texts/rules/r2.html,Rule 80.5 shall apply mutatis mutandis to the priority period.
Rule 3(1),https://www.wipo.int/pct/en/texts/rules/r3.html,Form of Request The request shall be made on a printed form or be presented as a computer print-out.
Rule 3(2),https://www.wipo.int/pct/en/texts/rules/r3.html,"Availability of Forms Copies of the printed form shall be furnished free of charge to the applicants by the receiving Office, or, if the receiving Office so desires, by the International Bureau."
Rule 3(3),https://www.wipo.int/pct/en/texts/rules/r3.html,Check List
Rule 3(3)(a),https://www.wipo.int/pct/en/texts/rules/r3.html,The request shall contain a list indicating:
Rule 3(3)(a)(i),https://www.wipo.int/pct/en/texts/rules/r3.html,"the total number of sheets constituting the international application and the number of the sheets of each element of the international application: request, description (separately indicating the number of sheets of any sequence listing part of the description), claims, drawings, abstract"
Rule 3(3)(a)(ii),https://www.wipo.int/pct/en/texts/rules/r3.html,"where applicable, that the international application as filed is accompanied by a power of attorney (i.e., a document appointing an agent or a common representative), a copy of a general power of attorney, a priority document, a sequence listing in electronic form, a document relating to the payment of fees, or any other document (to be specified in the check list)"
Rule 3(3)(a)(iii),https://www.wipo.int/pct/en/texts/rules/r3.html,"the number of that figure of the drawings which the applicant suggests should accompany the abstract when the abstract is published; in exceptional cases, the applicant may suggest more than one figure."
Rule 3(3)(b),https://www.wipo.int/pct/en/texts/rules/r3.html,"The list shall be completed by the applicant, failing which the receiving Office shall make the necessary indications, except that the number referred to in paragraph (a)(iii) shall not be indicated by the receiving Office."
Rule 3(4),https://www.wipo.int/pct/en/texts/rules/r3.html,"Particulars Subject to Rule 3.3, particulars of the printed request form and of a request presented as a computer print-out shall be prescribed by the Administrative Instructions."
Rule 4(1),https://www.wipo.int/pct/en/texts/rules/r4.html,Mandatory and Optional Contents; Signature
Rule 4(1)(a),https://www.wipo.int/pct/en/texts/rules/r4.html,The request shall contain:
Rule 4(1)(a)(i),https://www.wipo.int/pct/en/texts/rules/r4.html,"a petition,"
Rule 4(1)(a)(ii),https://www.wipo.int/pct/en/texts/rules/r4.html,"the title of the invention,"
Rule 4(1)(a)(iii),https://www.wipo.int/pct/en/texts/rules/r4.html,"indications concerning the applicant and the agent, if there is an agent,"
Rule 4(1)(a)(iv),https://www.wipo.int/pct/en/texts/rules/r4.html,indications concerning the inventor where the national law of at least one of the designated States requires that the name of the inventor be furnished at the time of filing a national application.
Rule 4(1)(b),https://www.wipo.int/pct/en/texts/rules/r4.html,"The request shall, where applicable, contain:"
Rule 4(1)(b)(i),https://www.wipo.int/pct/en/texts/rules/r4.html,"a priority claim,"
Rule 4(1)(b)(ii),https://www.wipo.int/pct/en/texts/rules/r4.html,"indications relating to an earlier search as provided in Rules 4.12(i) and 12bis.1(b) and (d),"
Rule 4(1)(b)(iii),https://www.wipo.int/pct/en/texts/rules/r4.html,"a reference to a parent application or parent patent,"
Rule 4(1)(b)(iv),https://www.wipo.int/pct/en/texts/rules/r4.html,an indication of the applicant’s choice of competent International Searching Authority.
Rule 4(1)(c),https://www.wipo.int/pct/en/texts/rules/r4.html,The request may contain:
Rule 4(1)(c)(i),https://www.wipo.int/pct/en/texts/rules/r4.html,"indications concerning the inventor where the national law of none of the designated States requires that the name of the inventor be furnished at the time of filing a national application,"
Rule 4(1)(c)(ii),https://www.wipo.int/pct/en/texts/rules/r4.html,"a request to the receiving Office to prepare and transmit the priority document to the International Bureau where the application whose priority is claimed was filed with the national Office or intergovernmental authority which is the receiving Office,"
Rule 4(1)(c)(iii),https://www.wipo.int/pct/en/texts/rules/r4.html,"declarations as provided in Rule 4.17,"
Rule 4(1)(c)(iv),https://www.wipo.int/pct/en/texts/rules/r4.html,"a statement as provided in Rule 4.18,"
Rule 4(1)(c)(v),https://www.wipo.int/pct/en/texts/rules/r4.html,"a request for restoration of the right of priority,"
Rule 4(1)(c)(vi),https://www.wipo.int/pct/en/texts/rules/r4.html,a statement as provided in Rule 4.12(ii).
Rule 4(1)(d),https://www.wipo.int/pct/en/texts/rules/r4.html,The request shall be signed.
Rule 4(2),https://www.wipo.int/pct/en/texts/rules/r4.html,The Petition The petition shall be to the following effect and shall preferably be worded as follows: “The undersigned requests that the present international application be processed according to the Patent Cooperation Treaty.”
Rule 4(3),https://www.wipo.int/pct/en/texts/rules/r4.html,Title of the Invention The title of the invention shall be short (preferably from two to seven words when in English or translated into English) and precise.
Rule 4(4),https://www.wipo.int/pct/en/texts/rules/r4.html,Names and Addresses
Rule 4(4)(a),https://www.wipo.int/pct/en/texts/rules/r4.html,"Names of natural persons shall be indicated by the person’s family name and given name(s), the family name being indicated before the given name(s)."
Rule 4(4)(b),https://www.wipo.int/pct/en/texts/rules/r4.html,"Names of legal entities shall be indicated by their full, official designations."
Rule 4(4)(c),https://www.wipo.int/pct/en/texts/rules/r4.html,"Addresses shall be indicated in such a way as to satisfy the customary requirements for prompt postal delivery at the indicated address and, in any case, shall consist of all the relevant administrative units up to, and including, the house number, if any. Where the national law of the designated State does not require the indication of the house number, failure to indicate such number shall have no effect in that State. In order to allow rapid communication with the applicant, it is recommended to indicate any teleprinter address, telephone and facsimile machine numbers, or corresponding data for other like means of communication, of the applicant or, where applicable, the agent or the common representative."
Rule 4(4)(d),https://www.wipo.int/pct/en/texts/rules/r4.html,"For each applicant, inventor, or agent, only one address may be indicated, except that, if no agent has been appointed to represent the applicant, or all of them if more than one, the applicant or, if there is more than one applicant, the common representative, may indicate, in addition to any other address given in the request, an address to which notifications shall be sent."
Rule 4(5),https://www.wipo.int/pct/en/texts/rules/r4.html,The Applicant
Rule 4(5)(a),https://www.wipo.int/pct/en/texts/rules/r4.html,The request shall indicate:
Rule 4(5)(a)(i),https://www.wipo.int/pct/en/texts/rules/r4.html,"the name,"
Rule 4(5)(a)(ii),https://www.wipo.int/pct/en/texts/rules/r4.html,"the address, and,"
Rule 4(5)(a)(iii),https://www.wipo.int/pct/en/texts/rules/r4.html,"the nationality and residence of the applicant or, if there are several applicants, of each of them."
Rule 4(5)(b),https://www.wipo.int/pct/en/texts/rules/r4.html,The applicant’s nationality shall be indicated by the name of the State of which he is a national.
Rule 4(5)(c),https://www.wipo.int/pct/en/texts/rules/r4.html,The applicant’s residence shall be indicated by the name of the State of which he is a resident.
Rule 4(5)(d),https://www.wipo.int/pct/en/texts/rules/r4.html,"The request may, for different designated States, indicate different applicants. In such a case, the request shall indicate the applicant or applicants for each designated State or group of designated States."
Rule 4(5)(e),https://www.wipo.int/pct/en/texts/rules/r4.html,"Where the applicant is registered with the national Office that is acting as receiving Office, the request may indicate the number or other indication under which the applicant is so registered."
Rule 4(6),https://www.wipo.int/pct/en/texts/rules/r4.html,The Inventor
Rule 4(6)(a),https://www.wipo.int/pct/en/texts/rules/r4.html,"Where Rule 4.1(a)(iv) or (c)(i) applies, the request shall indicate the name and address of the inventor or, if there are several inventors, of each of them."
Rule 4(6)(b),https://www.wipo.int/pct/en/texts/rules/r4.html,"If the applicant is the inventor, the request, in lieu of the indication under paragraph (a), shall contain a statement to that effect."
Rule 4(6)(c),https://www.wipo.int/pct/en/texts/rules/r4.html,"The request may, for different designated States, indicate different persons as inventors where, in this respect, the requirements of the national laws of the designated States are not the same. In such a case, the request shall contain a separate statement for each designated State or group of States in which a particular person, or the same person, is to be considered the inventor, or in which particular persons, or the same persons, are to be considered the inventors."
Rule 4(7),https://www.wipo.int/pct/en/texts/rules/r4.html,The Agent
Rule 4(7)(a),https://www.wipo.int/pct/en/texts/rules/r4.html,"If an agent is appointed, the request shall so indicate, and shall state the agent’s name and address."
Rule 4(7)(b),https://www.wipo.int/pct/en/texts/rules/r4.html,"Where the agent is registered with the national Office that is acting as receiving Office, the request may indicate the number or other indication under which the agent is so registered."
Rule 4(8),https://www.wipo.int/pct/en/texts/rules/r4.html,"Common Representative If a common representative is appointed, the request shall so indicate."
Rule 4(9),https://www.wipo.int/pct/en/texts/rules/r4.html,Designation of States; Kinds of Protection; National and Regional Patents
Rule 4(9)(a),https://www.wipo.int/pct/en/texts/rules/r4.html,The filing of a request shall constitute:
Rule 4(9)(a)(i),https://www.wipo.int/pct/en/texts/rules/r4.html,the designation of all Contracting States that are bound by the Treaty on the international filing date
Rule 4(9)(a)(ii),https://www.wipo.int/pct/en/texts/rules/r4.html,"an indication that the international application is, in respect of each designated State to which Article 43 or 44 applies, for the grant of every kind of protection which is available by way of the designation of that State"
Rule 4(9)(a)(iii),https://www.wipo.int/pct/en/texts/rules/r4.html,"an indication that the international application is, in respect of each designated State to which Article 45(1) applies, for the grant of a regional patent and also, unless Article 45(2) applies, a national patent."
Rule 4(9)(b),https://www.wipo.int/pct/en/texts/rules/r4.html,"Notwithstanding paragraph (a)(i), if, on October 5, 2005, the national law of a Contracting State provides that the filing of an international application which contains the designation of that State and claims the priority of an earlier national application having effect in that State shall have the result that the earlier national application ceases to have effect with the same consequences as the withdrawal of the earlier national application, any request in which the priority of an earlier national application filed in that State is claimed may contain an indication that the designation of that State is not made, provided that the designated Office notifies the International Bureau by January 5, 2006, that this paragraph shall apply in respect of designations of that State and that the notification is still in force on the international filing date. The information received shall be promptly published by the International Bureau in the Gazette.1"
Rule 4(10),https://www.wipo.int/pct/en/texts/rules/r4.html,Priority Claim
Rule 4(10)(a),https://www.wipo.int/pct/en/texts/rules/r4.html,Any declaration referred to in Article 8(1) (“priority claim”) may claim the priority of one or more earlier applications filed either in or for any country party to the Paris Convention for the Protection of Industrial Property or in or for any Member of the World Trade Organization that is not party to that Convention. Any priority claim shall be made in the request; it shall consist of a statement to the effect that the priority of an earlier application is claimed and shall indicate:
Rule 4(10)(a)(i),https://www.wipo.int/pct/en/texts/rules/r4.html,the date on which the earlier application was filed
Rule 4(10)(a)(ii),https://www.wipo.int/pct/en/texts/rules/r4.html,the number of the earlier application
Rule 4(10)(a)(iii),https://www.wipo.int/pct/en/texts/rules/r4.html,"where the earlier application is a national application, the country party to the Paris Convention for the Protection of Industrial Property or the Member of the World Trade Organization that is not party to that Convention in which it was filed"
Rule 4(10)(a)(iv),https://www.wipo.int/pct/en/texts/rules/r4.html,"where the earlier application is a regional application, the authority entrusted with the granting of regional patents under the applicable regional patent treaty"
Rule 4(10)(a)(v),https://www.wipo.int/pct/en/texts/rules/r4.html,"where the earlier application is an international application, the receiving Office with which it was filed."
Rule 4(10)(b),https://www.wipo.int/pct/en/texts/rules/r4.html,In addition to any indication required under paragraph (a)(iv) or (v):
Rule 4(10)(b)(i),https://www.wipo.int/pct/en/texts/rules/r4.html,"where the earlier application is a regional application or an international application, the priority claim may indicate one or more countries party to the Paris Convention for the Protection of Industrial Property for which that earlier application was filed"
Rule 4(10)(b)(ii),https://www.wipo.int/pct/en/texts/rules/r4.html,"where the earlier application is a regional application and at least one of the countries party to the regional patent treaty is neither party to the Paris Convention for the Protection of Industrial Property nor a Member of the World Trade Organization, the priority claim shall indicate at least one country party to that Convention or one Member of that Organization for which that earlier application was filed."
Rule 4(10)(c),https://www.wipo.int/pct/en/texts/rules/r4.html,"For the purposes of paragraphs (a) and (b), Article 2(vi) shall not apply."
Rule 4(11),https://www.wipo.int/pct/en/texts/rules/r4.html,"Reference to Continuation or Continuation-in-Part, or Parent Application or Grant"
Rule 4(11)(a),https://www.wipo.int/pct/en/texts/rules/r4.html,If:
Rule 4(11)(a)(i),https://www.wipo.int/pct/en/texts/rules/r4.html,"the applicant intends to make an indication under Rule 49bis.1(a) or (b) of the wish that the international application be treated, in any designated State, as an application for a patent of addition, certificate of addition, inventor’s certificate of addition or utility certificate of addition; or"
Rule 4(11)(a)(ii),https://www.wipo.int/pct/en/texts/rules/r4.html,"the applicant intends to make an indication under Rule 49bis.1(d) of the wish that the international application be treated, in any designated State, as an application for a continuation or a continuation-in-part of an earlier application the request shall so indicate and shall indicate the relevant parent application or parent patent or other parent grant."
Rule 4(11)(b),https://www.wipo.int/pct/en/texts/rules/r4.html,The inclusion in the request of an indication under paragraph (a) shall have no effect on the operation of Rule 4.9.
Rule 4(12),https://www.wipo.int/pct/en/texts/rules/r4.html,"Taking into Account Results of Earlier Search If the applicant wishes the International Searching Authority to take into account, in carrying out the international search, the results of an earlier international, international-type or national search carried out by the same or another International Searching Authority or by a national Office (“earlier search”):"
