ref,url,content
EPC Article 1,https://www.epo.org/en/legal/epc/2020/a1.html,"Title: EPC Article 1. Content: Article 1 European law for the grant of patents A system of law, common to the Contracting States, FootnoteRef2 for the grant of patents for invention is established by this Convention. FootnoteRef2 There are currently 39 Contracting States: AL, AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR."
EPC Article 2,https://www.epo.org/en/legal/epc/2020/a2.html,"Title: EPC Article 2. Content: Article 2 European patent (1) Patents granted under this Convention shall be called European patents. (2) The European patent shall, in each of the Contracting States for which it is granted, have the effect of and be subject to the same conditions as a national patent granted by that State, unless this Convention provides otherwise."
EPC Article 3,https://www.epo.org/en/legal/epc/2020/a3.html,Title: EPC Article 3. Content: Article 3 Territorial effect The grant of a European patent may be requested for one or more of the Contracting States.
EPC Article 4,https://www.epo.org/en/legal/epc/2020/a4.html,"Title: EPC Article 4. Content: Article 4 FootnoteRef3 European Patent Organisation (1) A European Patent Organisation, hereinafter referred to as the Organisation, is established by this Convention. It shall have administrative and financial autonomy. (2) The organs of the Organisation shall be: (a) the European Patent Office; (b) the Administrative Council. (3) The task of the Organisation shall be to grant European patents. This shall be carried out by the European Patent Office supervised by the Administrative Council. FootnoteRef3 See decisions of the Enlarged Board of Appeal G 5/88 , G 7/88 , G 8/88 , G 1/04 (Annex I)."
EPC Article 4a,https://www.epo.org/en/legal/epc/2020/a4a.html,Title: EPC Article 4a. Content: Article 4a FootnoteRef4 Conference of ministers of the Contracting States A conference of ministers of the Contracting States responsible for patent matters shall meet at least every five years to discuss issues pertaining to the Organisation and to the European patent system. FootnoteRef4 Inserted by the Act revising the European Patent Convention of 29.11.2000.
EPC Article 5,https://www.epo.org/en/legal/epc/2020/a5.html,"Title: EPC Article 5. Content: Article 5 FootnoteRef5 Legal status (1) The Organisation shall have legal personality. (2) In each of the Contracting States, the Organisation shall enjoy the most extensive legal capacity accorded to legal persons under the national law of that State; it may in particular acquire or dispose of movable and immovable property and may be a party to legal proceedings. (3) The President of the European Patent Office shall represent the Organisation. FootnoteRef5 See decisions of the Enlarged Board of Appeal G 5/88 , G 7/88 , G 8/88 (Annex I)."
EPC Article 6,https://www.epo.org/en/legal/epc/2020/a6.html,"Title: EPC Article 6. Content: Article 6 FootnoteRef6 Headquarters (1) The Organisation shall have its headquarters in Munich. (2) The European Patent Office shall be located in Munich. It shall have a branch at The Hague. FootnoteRef6 See decisions of the Enlarged Board of Appeal G 5/88 , G 7/88 , G 8/88 (Annex I)."
EPC Article 7,https://www.epo.org/en/legal/epc/2020/a7.html,"Title: EPC Article 7. Content: Article 7 FootnoteRef7 Sub-offices of the European Patent Office By decision of the Administrative Council, sub-offices of the European Patent Office may be created, if need be, for the purpose of information and liaison, in the Contracting States and with intergovernmental organisations in the field of industrial property, subject to the approval of the Contracting State or organisation concerned. FootnoteRef7 See decisions of the Enlarged Board of Appeal G 5/88 , G 7/88 , G 8/88 (Annex I)."
EPC Article 8,https://www.epo.org/en/legal/epc/2020/a8.html,"Title: EPC Article 8. Content: Article 8 Privileges and immunities The Protocol on Privileges and Immunities annexed to this Convention shall define the conditions under which the Organisation, the members of the Administrative Council, the employees of the European Patent Office, and such other persons specified in that Protocol as take part in the work of the Organisation, shall enjoy, in each Contracting State, the privileges and immunities necessary for the performance of their duties."
EPC Article 9,https://www.epo.org/en/legal/epc/2020/a9.html,"Title: EPC Article 9. Content: Article 9 Liability (1) The contractual liability of the Organisation shall be governed by the law applicable to the contract in question. (2) The non-contractual liability of the Organisation in respect of any damage caused by it or by the employees of the European Patent Office in the performance of their duties shall be governed by the law of the Federal Republic of Germany. Where the damage is caused by the branch at The Hague or a sub-office or employees attached thereto, the law of the Contracting State in which such branch or sub-office is located shall apply. (3) The personal liability of the employees of the European Patent Office towards the Organisation shall be governed by their Service Regulations or conditions of employment. (4) The courts with jurisdiction to settle disputes under paragraphs 1 and 2 shall be: (a) for disputes under paragraph 1 , the courts of the Federal Republic of Germany, unless the contract concluded between the parties designates a court of another State; (b) for disputes under paragraph 2 , the courts of the Federal Republic of Germany, or of the State in which the branch or sub-office is located."
